city,city_ascii,state_id,state_name,county_name,lat,lng,population,timezone,zips
Phoenix,Phoenix,AZ,Arizona,Maricopa,33.5722,-112.0891,4054083,America/Phoenix,85008 85009 85003 85006 85007 85004 85083 85086 85087 85085 85383 85304 85306 85308 85020 85021 85022 85023 85024 85027 85028 85029 85353 85013 85015 85014 85254 85044 85045 85042 85043 85040 85041 85048 85054 85037 85035 85034 85033 85032 85031 85019 85018 85012 85017 85016 85307 85310 85051 85050 85053 85001 85002 85005 85010 85011 85025 85026 85030 85036 85038 85046 85060 85061 85062 85063 85064 85065 85066 85067 85068 85069 85070 85071 85072 85073 85074 85075 85076 85078 85079 85080 85082 85098
San Francisco,San Francisco,CA,California,San Francisco,37.7561,-122.4429,3548847,America/Los_Angeles,94130 94131 94132 94133 94134 94108 94103 94102 94105 94104 94158 94124 94123 94122 94121 94129 94110 94118 94112 94116 94117 94114 94115 94111 94109 94107 94127 94119 94120 94125 94126 94137 94139 94140 94141 94142 94143 94144 94145 94146 94147 94151 94159 94160 94161 94163 94164 94172 94177 94188
Seattle,Seattle,WA,Washington,King,47.6217,-122.3238,3541236,America/Los_Angeles,98109 98108 98104 98107 98106 98101 98103 98102 98105 98154 98122 98121 98126 98125 98178 98174 98177 98144 98146 98195 98199 98118 98119 98116 98117 98115 98112 98164 98134 98136 98133 98111 98113 98114 98124 98127 98129 98139 98141 98145 98161 98165 98170 98175 98181 98185 98191 98194
Detroit,Detroit,MI,Michigan,Wayne,42.3834,-83.1024,3520589,America/Detroit,48209 48208 48201 48207 48206 48205 48204 48203 48238 48239 48234 48235 48233 48202 48243 48214 48215 48216 48217 48210 48211 48212 48213 48219 48228 48224 48227 48226 48221 48223 48222 48231 48232 48244 48255 48260 48264 48265 48266 48267 48268 48269 48272 48275 48277 48278 48279 48288
San Diego,San Diego,CA,California,San Diego,32.8312,-117.1225,3181172,America/Los_Angeles,92109 92108 92106 92103 92111 92117 92154 92140 92107 92105 92104 92102 92071 92132 92130 92131 92134 92139 92025 92027 92147 92145 92014 92119 92110 92121 92120 92123 92122 92124 92127 92126 92129 92128 92101 92037 92173 92113 92114 92115 92116 92038 92039 92072 92092 92093 92112 92137 92138 92142 92143 92149 92150 92152 92153 92158 92159 92160 92161 92163 92165 92166 92167 92168 92169 92170 92171 92172 92174 92175 92176 92177 92179 92182 92186 92187 92190 92191 92192 92193 92195 92196 92197 92198 92199
Minneapolis,Minneapolis,MN,Minnesota,Hennepin,44.9635,-93.2679,2866604,America/Chicago,55402 55409 55408 55407 55406 55405 55404 55403 55401 55417 55455 55430 55454 55418 55419 55410 55411 55412 55413 55414 55415 55416 55440 55458 55459 55460 55467 55470 55472 55473 55474 55478 55479 55480 55483 55484 55485 55486 55487 55488
Tampa,Tampa,FL,Florida,Hillsborough,27.9937,-82.4454,2744107,America/New_York,33637 33629 33621 33620 33647 33602 33619 33616 33613 33611 33617 33614 33610 33612 33605 33604 33609 33607 33606 33603 33601 33608 33622 33623 33630 33631 33633 33646 33650 33655 33660 33661 33662 33663 33664 33672 33673 33674 33675 33677 33679 33680 33681 33682 33684 33685 33686 33687 33688 33689 33694
Denver,Denver,CO,Colorado,Denver,39.7621,-104.8759,2741534,America/Denver,80264 80218 80230 80231 80236 80237 80235 80238 80239 80123 80249 80247 80246 80290 80293 80294 80219 80210 80211 80212 80216 80221 80220 80223 80222 80224 80227 80209 80207 80206 80205 80204 80202 80014 80203 80201 80208 80217 80225 80243 80244 80248 80250 80251 80252 80256 80257 80259 80261 80262 80263 80265 80266 80271 80273 80274 80281 80291 80299
Brooklyn,Brooklyn,NY,New York,Kings,40.6501,-73.9496,2629150,America/New_York,11212 11213 11216 11233 11238 11209 11214 11228 11204 11218 11219 11230 11234 11236 11239 11223 11224 11229 11235 11201 11205 11215 11217 11231 11203 11210 11225 11226 11207 11208 11211 11222 11220 11232 11206 11221 11237
Queens,Queens,NY,New York,Queens,40.7498,-73.7976,2333054,America/New_York,11361 11362 11363 11364 11354 11355 11356 11357 11358 11359 11360 11365 11366 11367 11412 11423 11432 11433 11434 11435 11436 11101 11102 11103 11104 11105 11106 11374 11375 11379 11385 11691 11692 11693 11694 11695 11697 11004 11005 11411 11413 11422 11426 11427 11428 11429 11414 11415 11416 11417 11418 11419 11420 11421 11368 11369 11370 11372 11373 11377 11378
Baltimore,Baltimore,MD,Maryland,Baltimore (city),39.3051,-76.6144,2181206,America/New_York,21218 21211 21210 21213 21212 21215 21214 21217 21216 21231 21230 21239 21251 21209 21202 21206 21207 21205 21226 21201 21223 21224 21225 21229 21203 21233 21235 21241 21263 21264 21270 21273 21275 21278 21279 21280 21281 21282 21284 21285 21287 21288 21289 21290 21297 21298
Saint Louis,Saint Louis,MO,Missouri,St. Louis (city),38.6358,-90.2451,2096990,America/Chicago,63110 63111 63112 63113 63115 63116 63118 63120 63107 63106 63104 63103 63102 63101 63109 63108 63155 63139 63137 63143 63147 63145 63150 63151 63156 63157 63158 63160 63163 63164 63166 63167 63169 63171 63177 63178 63179 63180 63182 63188 63195 63197 63199
Riverside,Riverside,CA,California,Riverside,33.9382,-117.3949,2065627,America/Los_Angeles,92508 92503 92501 92505 92504 92507 92506 92502 92513 92514 92516 92517 92521 92522
Las Vegas,Las Vegas,NV,Nevada,Clark,36.2288,-115.2603,2044731,America/Los_Angeles,89149 89107 89106 89104 89102 89101 89108 89138 89130 89131 89134 89143 89146 89145 89144 89124 89110 89117 89129 89128 88901 88905 89114 89116 89125 89127 89133 89137 89151 89152 89153 89155 89158 89163 89164 89180 89185 89195
Portland,Portland,OR,Oregon,Multnomah,45.5372,-122.65,2027629,America/Los_Angeles,97227 97221 97220 97229 97203 97202 97201 97206 97205 97204 97209 97208 97266 97219 97212 97236 97232 97233 97230 97239 97218 97214 97215 97216 97217 97210 97211 97213 97207 97228 97238 97240 97242 97250 97251 97252 97253 97254 97256 97258 97280 97282 97283 97286 97290 97291 97292 97293 97294 97296
San Antonio,San Antonio,TX,Texas,Bexar,29.4722,-98.5247,1976787,America/Chicago,78112 78233 78259 78258 78252 78251 78250 78257 78256 78255 78254 78208 78201 78202 78203 78204 78205 78207 78231 78230 78232 78235 78234 78237 78239 78238 78209 78109 78266 78260 78219 78218 78217 78216 78215 78214 78213 78212 78211 78210 78244 78245 78247 78240 78242 78248 78249 78023 78222 78223 78220 78221 78226 78227 78224 78225 78228 78229 78054 78206 78241 78246 78265 78268 78269 78270 78278 78279 78280 78283 78284 78285 78288 78289 78291 78292 78293 78294 78295 78296 78297 78298 78299
Sacramento,Sacramento,CA,California,Sacramento,38.5666,-121.4683,1830061,America/Los_Angeles,95821 95823 95838 95832 95833 95831 95834 95835 95811 95814 95815 95816 95818 95819 95828 95820 95822 95825 95824 95826 95817 94203 94204 94205 94207 94208 94209 94211 94229 94230 94232 94234 94235 94236 94237 94239 94240 94244 94245 94247 94248 94249 94250 94252 94254 94256 94257 94258 94259 94261 94262 94263 94267 94268 94269 94271 94273 94274 94277 94278 94279 94280 94282 94283 94284 94285 94286 94287 94288 94289 94290 94291 94293 94294 94295 94296 94297 94298 94299 95812 95813 95840 95851 95852 95853 95867 95894
San Jose,San Jose,CA,California,Santa Clara,37.302,-121.8488,1804359,America/Los_Angeles,95118 95128 95124 95125 95126 95127 95120 95123 95008 95002 95117 95116 95111 95110 95113 95112 95119 95121 95148 95133 95132 95131 95130 95136 95135 95134 95139 95138 95037 95013 95129 95122 95101 95103 95106 95109 95115 95141 95150 95151 95153 95154 95155 95156 95157 95158 95159 95160 95161 95164 95170 95172 95173 95190 95191 95192 95193 95194 95196
Orlando,Orlando,FL,Florida,Orange,28.4801,-81.3448,1757288,America/New_York,32829 32827 32824 32822 32804 32805 32806 32807 32801 32803 32808 32839 32835 32832 32819 32812 32811 32814 32802 32816 32834 32853 32854 32855 32856 32857 32858 32859 32860 32861 32862 32867 32868 32869 32872 32877 32878 32885 32886 32887 32891 32897
Cleveland,Cleveland,OH,Ohio,Cuyahoga,41.4766,-81.6805,1731637,America/New_York,44135 44128 44120 44119 44113 44112 44111 44110 44115 44114 44144 44127 44104 44105 44106 44101 44102 44103 44108 44109 44181 44188 44190 44191 44192 44193 44194 44195 44197 44198 44199
Pittsburgh,Pittsburgh,PA,Pennsylvania,Allegheny,40.4396,-79.9763,1722206,America/New_York,15216 15217 15214 15212 15210 15211 15218 15219 15290 15233 15260 15232 15205 15204 15207 15206 15201 15203 15208 15224 15213 15234 15222 15221 15220 15226 15120 15230 15231 15240 15242 15244 15250 15251 15252 15253 15254 15255 15257 15258 15259 15261 15262 15264 15265 15267 15268 15270 15272 15274 15275 15276 15277 15278 15279 15281 15282 15283 15286 15289 15295
Manhattan,Manhattan,NY,New York,New York,40.7834,-73.9662,1643734,America/New_York,10026 10027 10030 10037 10039 10001 10011 10018 10019 10020 10036 10029 10035 10010 10016 10017 10022 10012 10013 10014 10004 10005 10006 10007 10038 10280 10002 10003 10009 10021 10028 10044 10065 10075 10128 10023 10024 10025 10031 10032 10033 10034 10040
Cincinnati,Cincinnati,OH,Ohio,Hamilton,39.1412,-84.506,1634573,America/New_York,45219 45213 45212 45211 45217 45216 45214 45225 45229 45226 45227 45224 45204 45205 45206 45207 45202 45203 45208 45209 45223 45239 45238 45237 45220 45230 45233 45232 45201 45221 45222 45234 45235 45250 45253 45254 45258 45262 45263 45264 45267 45268 45269 45270 45271 45273 45274 45275 45277 45296 45298 45299 45999
Austin,Austin,TX,Texas,Travis,30.3038,-97.7545,1633847,America/Chicago,78749 78748 78741 78742 78745 78744 78747 78746 78717 78712 78719 78617 78739 78735 78730 78731 78732 78733 78705 78704 78701 78703 78702 78758 78759 78752 78753 78750 78751 78756 78757 78754 78652 78723 78722 78721 78727 78726 78725 78724 78729 78728 73301 73344 78651 78708 78709 78710 78711 78713 78714 78715 78716 78718 78720 78755 78760 78761 78762 78763 78764 78765 78766 78767 78768 78769 78772 78773 78774 78778 78779 78783 78799
Kansas City,Kansas City,MO,Missouri,Jackson,39.1239,-94.5541,1590762,America/Chicago,64163 64164 64165 64167 64161 64053 64119 64118 64151 64153 64155 64154 64157 64156 64158 64108 64109 64102 64105 64101 64128 64124 64125 64126 64127 64120 64123 64129 64166 64192 64114 64117 64116 64111 64110 64113 64112 64132 64130 64146 64145 64149 64147 64106 64139 64138 64133 64131 64137 64136 64134 64121 64141 64144 64148 64162 64168 64170 64171 64179 64180 64184 64187 64188 64190 64191 64195 64196 64197 64198 64199 64999
Indianapolis,Indianapolis,IN,Indiana,Marion,39.7771,-86.1458,1550488,America/Indiana/Indianapolis,46237 46218 46219 46217 46214 46260 46268 46226 46224 46229 46228 46183 46231 46234 46235 46236 46239 46254 46208 46201 46203 46202 46205 46204 46256 46250 46259 46227 46225 46222 46221 46220 46113 46278 46241 46240 46206 46207 46209 46210 46211 46230 46242 46244 46247 46249 46251 46253 46255 46262 46274 46275 46277 46282 46283 46285 46291 46296 46298
Columbus,Columbus,OH,Ohio,Franklin,39.9859,-82.9852,1495146,America/New_York,43026 43109 43054 43220 43221 43222 43223 43224 43081 43228 43227 43210 43213 43212 43215 43214 43217 43219 43002 43004 43068 43085 43240 43229 43235 43232 43231 43230 43119 43110 43017 43016 43137 43211 43202 43203 43201 43206 43207 43204 43205 43209 43216 43218 43226 43234 43236 43251 43260 43266 43268 43270 43271 43272 43279 43287 43291
Virginia Beach,Virginia Beach,VA,Virginia,Virginia Beach (city),36.7335,-76.0435,1487505,America/New_York,23459 23451 23453 23452 23455 23457 23456 23454 23460 23461 23462 23464 23450 23458 23463 23465 23466 23467 23471 23479
Bronx,Bronx,NY,New York,Bronx,40.8501,-73.8662,1455720,America/New_York,10453 10457 10460 10458 10467 10468 10451 10452 10456 10454 10455 10459 10474 10463 10471 10466 10469 10470 10475 10461 10462 10464 10465 10472 10473
Charlotte,Charlotte,NC,North Carolina,Mecklenburg,35.208,-80.8308,1438351,America/New_York,28269 28262 28105 28280 28282 28209 28208 28205 28204 28207 28206 28203 28202 28227 28226 28278 28270 28273 28277 28134 28216 28217 28214 28215 28212 28213 28210 28211 28244 28126 28130 28201 28218 28219 28220 28221 28222 28223 28224 28228 28229 28230 28231 28232 28233 28234 28235 28236 28237 28241 28242 28243 28246 28247 28253 28254 28255 28256 28258 28260 28263 28265 28266 28271 28272 28274 28275 28281 28284 28285 28287 28288 28289 28290 28296 28297 28299
Milwaukee,Milwaukee,WI,Wisconsin,Milwaukee,43.064,-87.9669,1377104,America/Chicago,53203 53202 53207 53206 53205 53204 53209 53208 53233 53211 53218 53219 53214 53215 53216 53210 53212 53213 53295 53225 53224 53227 53226 53221 53220 53223 53222 53228 53201 53234 53237 53259 53263 53274 53278 53288 53290 53293
Providence,Providence,RI,Rhode Island,Providence,41.8229,-71.4186,1198789,America/New_York,02903 02906 02907 02904 02905 02908 02909 02912 02901 02902 02918 02940
Jacksonville,Jacksonville,FL,Florida,Duval,30.3322,-81.6749,1141459,America/New_York,32224 32225 32226 32227 32220 32221 32222 32223 32228 32219 32218 32217 32216 32211 32210 32212 32246 32244 32233 32234 32206 32205 32202 32250 32254 32257 32256 32208 32209 32204 32258 32277 32207 32099 32201 32203 32214 32229 32231 32232 32235 32236 32237 32238 32239 32241 32245 32247 32255 32260
Memphis,Memphis,TN,Tennessee,Shelby,35.1047,-89.9773,1069661,America/Chicago,38122 38125 38127 38107 38106 38105 38104 38103 38109 38108 38152 38132 38133 38131 38141 38111 38112 38114 38115 38116 38117 38118 38119 38018 38016 38134 38128 38120 38126 37501 37544 38101 38113 38124 38130 38136 38137 38145 38148 38150 38151 38157 38159 38161 38163 38166 38167 38168 38173 38174 38175 38177 38181 38182 38184 38186 38187 38188 38190 38193 38194 38197
Nashville,Nashville,TN,Tennessee,Davidson,36.1714,-86.7844,1065078,America/Chicago,37027 37138 37076 37072 37201 37203 37206 37240 37243 37246 37080 37218 37219 37216 37217 37214 37215 37212 37213 37210 37211 37189 37209 37208 37205 37204 37207 37115 37013 37228 37221 37220 37143 37011 37116 37202 37222 37224 37227 37229 37230 37232 37234 37235 37236 37238 37241 37242 37244 37250
Salt Lake City,Salt Lake City,UT,Utah,Salt Lake,40.7774,-111.9301,1061156,America/Denver,84116 84115 84113 84112 84111 84144 84128 84180 84108 84101 84102 84103 84104 84105 84106 84110 84114 84122 84132 84133 84134 84136 84138 84139 84143 84145 84147 84148 84150 84151 84152 84158 84189 84190 84199
Richmond,Richmond,VA,Virginia,Richmond (city),37.5294,-77.4755,1041877,America/New_York,23219 23222 23223 23220 23221 23226 23227 23224 23225 23230 23235 23234 23173 23218 23232 23241 23242 23249 23255 23260 23261 23269 23273 23274 23276 23278 23279 23282 23284 23285 23286 23288 23289 23290 23291 23292 23293 23295 23297 23298
New Orleans,New Orleans,LA,Louisiana,Orleans,30.0687,-89.9288,1024421,America/Chicago,70139 70130 70131 70114 70115 70116 70117 70112 70113 70118 70119 70129 70128 70125 70124 70127 70126 70122 70163 70141 70142 70143 70145 70146 70148 70150 70151 70152 70153 70154 70156 70157 70158 70159 70160 70161 70162 70164 70165 70166 70167 70170 70172 70174 70175 70176 70177 70178 70179 70181 70182 70183 70184 70185 70186 70187 70189 70190 70195
Raleigh,Raleigh,NC,North Carolina,Wake,35.8323,-78.6441,1005457,America/New_York,27617 27616 27615 27614 27613 27612 27610 27608 27609 27601 27603 27604 27605 27606 27607 27602 27611 27619 27620 27621 27622 27623 27624 27625 27626 27627 27628 27629 27634 27635 27636 27640 27650 27656 27658 27661 27668 27675 27676 27690 27695 27697 27698 27699
Louisville,Louisville,KY,Kentucky,Jefferson,38.1662,-85.6488,1003412,America/New_York,40177 40245 40241 40218 40219 40214 40216 40211 40213 40059 40291 40299 40220 40223 40222 40229 40228 40023 40272 40207 40209 40258 40118 40018 40027
Oklahoma City,Oklahoma City,OK,Oklahoma,Oklahoma,35.4677,-97.5138,948154,America/Chicago,73012 73099 73097 73119 73118 73114 73117 73116 73111 73112 73020 73173 73013 73142 73141 73145 73149 73078 73106 73107 74857 73139 73132 73131 73135 73134 73008 73084 73105 73102 73162 73054 73151 73150 73159 73064 73108 73109 73104 73103 73129 73179 73170 73049 73169 73165 73127 73120 73121 73122 73128 73101 73113 73123 73124 73125 73126 73136 73137 73140 73143 73144 73146 73147 73148 73152 73153 73154 73155 73156 73157 73163 73164 73167 73172 73178 73184 73189 73190 73194 73195 73196
Bridgeport,Bridgeport,CT,Connecticut,Fairfield,41.1909,-73.1958,934289,America/New_York,06605 06604 06607 06606 06608 06610 06601 06602 06673 06699
Buffalo,Buffalo,NY,New York,Erie,42.9016,-78.8487,920136,America/New_York,14208 14209 14202 14203 14201 14206 14207 14204 14220 14222 14218 14211 14210 14213 14212 14215 14214 14216 14205 14231 14233 14240 14241 14260 14263 14264 14265 14267 14269 14270 14272 14273 14276 14280
Hartford,Hartford,CT,Connecticut,Hartford,41.7661,-72.6834,913587,America/New_York,06106 06105 06103 06120 06112 06160 06114 06101 06102 06104 06115 06123 06126 06132 06134 06140 06141 06142 06143 06144 06145 06146 06147 06150 06151 06152 06153 06154 06155 06156 06161 06167 06176 06180 06183 06199
Tucson,Tucson,AZ,Arizona,Pima,32.1558,-110.8777,860333,America/Phoenix,85705 85707 85706 85756 85723 85726 85724 85701 85708 85748 85745 85747 85716 85714 85715 85712 85713 85710 85711 85719 85730 85702 85703 85709 85717 85720 85721 85722 85725 85731 85732 85738 85751 85754 85775
Fort Worth,Fort Worth,TX,Texas,Tarrant,32.7813,-97.3466,854113,America/Chicago,76164 76040 76134 76135 76137 76131 76132 76133 76109 76108 76105 76104 76107 76103 76102 76155 76106 76053 76052 76123 76120 76244 76006 76008 76179 76177 76036 76140 76262 76127 76118 76119 76116 76117 76114 76115 76112 76110 76111 76129 76101 76113 76121 76122 76124 76130 76136 76147 76150 76161 76162 76163 76166 76181 76185 76191 76192 76193 76195 76196 76197 76198 76199
